Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
438,Emerald Lakes Carrara,The Boulevard,4211,-28.0168966,153.3735431,M094122AU1-399-29259,5237
439,Emerald Lakes Carrara,The Boulevard,4211,-28.0168966,153.3735431,M094122AU1-400-29259,5237
440,Burleigh,Gold Coast Highway & Esplanade Burleigh,4822,-20.7294558,143.1416956,M094123AU1-398-29129,5629
441,Gold Coast,20-24 Hughes Street,4217,-27.9780434,153.4255566,M094146AU1-399-28694,5467
442,Robina,2 Riverwalk Avenue,4226,-28.077164,153.3793487,M094154AU1-399-29098,5237
443,Varsity Lakes,154 Varsity Parade,4227,-28.0809026,153.4098916,M094163AU1-398-29207,5237
444,Robina,2 Investigator Drive,4226,-28.0741287,153.3769897,M094164AU1-397-29496,5237
445,Robina,38 Riverwalk Avenue,4226,-28.07941765,153.3821556,M094220AU1-397-29389,5237
446,Robina,38 Riverwalk Avenue,4226,-28.07941765,153.3821556,M094220AU1-398-29389,5237
447,Robina,38 Riverwalk Avenue,4226,-28.07941765,153.3821556,M094220AU1-400-29389,5237
448,Ashmore,1 Edmund Rice Drive,2486,-27.9764719,153.3842702,M094243AU1-398-30697,5320
449,Robina,Laver Drive,4226,-28.077164,153.3793487,M094322AU1-398-29581,5237
450,Bilinga,239 Golden Four Drive,4225,-28.15653841,153.5070589,M094325AU1-397-30315,5629
451,Bilinga,239 Golden Four Drive,4225,-28.15653841,153.5070589,M094325AU1-400-30315,1049
452,Helensvale,Lindfield Road,4212,-27.9203587,153.3296745,M094338AU1-397-28980,29535
453,Helensvale,Lindfield Road,4212,-27.9203587,153.3296745,M094338AU1-399-28980,5467
454,Varsity Lakes,7 Moores Crescent,4227,-28.079088,153.4137202,M094358AU1-397-30301,5237
455,Varsity Lakes,7 Moores Crescent,4227,-28.079088,153.4137202,M094358AU1-399-30301,5237
456,Burleigh Heads,106-108 The Esplanade,4220,-28.0842062,153.4497625,M094368AU1-398-29910,5629
457,Burleigh Heads,106-108 The Esplanade,4220,-28.0842062,153.4497625,M094368AU1-399-29910,5629
